2026-04-30 22:01:01 +03:00: error: [polling_error] {"code":"ETELEGRAM","message":"ETELEGRAM: 409 Conflict: terminated by other getUpdates request; make sure that only one bot instance is running"}
2026-04-30 22:53:34 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-04-30 23:11:10 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-04-30 23:27:07 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-04-30 23:45:39 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 00:08:03 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 00:28:14 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 00:49:30 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 01:08:44 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 01:27:38 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 01:46:05 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 02:04:22 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 02:23:23 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 02:43:07 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 03:15:31 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 03:35:31 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 03:53:03 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 04:10:56 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 04:31:22 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 04:50:55 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 05:09:04 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 05:26:29 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 05:45:36 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 06:07:56 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 06:26:11 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 06:44:35 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 07:08:05 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 07:33:25 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 07:53:54 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 08:11:42 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 08:30:06 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 08:49:21 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 09:13:47 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 09:32:49 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 10:21:35 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 10:58:58 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 11:18:24 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 11:37:56 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 11:57:05 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
2026-05-01 12:17:44 +03:00: error: [polling_error] {"code":"EFATAL","message":"EFATAL: Error: read ECONNRESET"}
